zip_code,Campaign_with_highest_sum,Sum
53209,2021 Diaper Drive Golf Outing invite,50.0
53211,2021 Diaper Drive Golf Outing invite,26.06
53217,Bottoms Up Ball Invitation,52.39
53219,2021 Diaper Drive Golf Outing invite,12.0
53227,2021 Diaper Drive Golf Outing invite,25.0
53228,2021 Diaper Drive Golf Outing invite,26.06
53232,2021 Diaper Drive Golf Outing invite,103.3
53289,2021 Diaper Drive Golf Outing invite,51.8
53391,Bottoms Up Ball Invitation,75.0
53456,Bottoms Up Ball Invitation,170.0
53502,2021 Diaper Drive Golf Outing invite,305.26
53503,2021 Diaper Drive Golf Outing invite,281.05
53504,Bottoms Up Ball Invitation,51.8
53505,2021 Diaper Drive Golf Outing invite,51.85
53507,Bottoms Up Ball Invitation,1239.29
53508,Bottoms Up Ball Invitation,2208.08
53511,Bottoms Up Ball Invitation,701.67
53515,Bottoms Up Ball Invitation,465.97
53516,Bottoms Up Ball Invitation,748.03
53517,Bottoms Up Ball Invitation,804.03
53520,Bottoms Up Ball Invitation,342.42
53521,Bottoms Up Ball Invitation,773.7
53522,Bottoms Up Ball Invitation,300.95
53523,Bottoms Up Ball Invitation,3729.42
53524,2021 Diaper Drive Golf Outing invite,52.01
53527,Bottoms Up Ball Invitation,3356.52
53528,Bottoms Up Ball Invitation,1862.22
53529,Bottoms Up Ball Invitation,1973.77
53530,Bottoms Up Ball Invitation,129.13
53531,Bottoms Up Ball Invitation,1566.76
53532,Bottoms Up Ball Invitation,8001.47
53533,Bottoms Up Ball Invitation,1036.1
53534,Bottoms Up Ball Invitation,1340.24
53535,2021 Diaper Drive Golf Outing invite,26.13
53536,Bottoms Up Ball Invitation,542.79
53537,2021 Diaper Drive Golf Outing invite,300.0
53538,Bottoms Up Ball Invitation,994.61
53541,Bottoms Up Ball Invitation,50.0
53545,Bottoms Up Ball Invitation,1454.41
53546,Bottoms Up Ball Invitation,1493.42
53547,Bottoms Up Ball Invitation,25.0
53548,Bottoms Up Ball Invitation,575.9
53549,2021 Diaper Drive Golf Outing invite,89.86
53551,Bottoms Up Ball Invitation,1190.07
53554,2021 Diaper Drive Golf Outing invite,12.0
53555,Bottoms Up Ball Invitation,2161.21
53556,Bottoms Up Ball Invitation,153.39
53557,2021 Diaper Drive Golf Outing invite,50.0
53558,Bottoms Up Ball Invitation,7584.75
53559,Bottoms Up Ball Invitation,590.27
53560,2021 Diaper Drive Golf Outing invite,378.6
53561,Bottoms Up Ball Invitation,383.27
53562,2021 Diaper Drive Golf Outing invite,16349.07
53563,Bottoms Up Ball Invitation,635.1
53565,2021 Diaper Drive Golf Outing invite,436.9
53566,Bottoms Up Ball Invitation,870.94
53569,Bottoms Up Ball Invitation,155.46
53570,Bottoms Up Ball Invitation,458.42
53571,Bottoms Up Ball Invitation,45.97
53572,Bottoms Up Ball Invitation,2538.54
53574,Bottoms Up Ball Invitation,1526.33
53575,Bottoms Up Ball Invitation,7504.69
53576,Bottoms Up Ball Invitation,71.4
53577,Bottoms Up Ball Invitation,50.0
53578,Bottoms Up Ball Invitation,826.18
53579,Bottoms Up Ball Invitation,26.06
53581,Bottoms Up Ball Invitation,332.67
53582,Bottoms Up Ball Invitation,51.06
53583,Bottoms Up Ball Invitation,1717.38
53586,2021 Diaper Drive Golf Outing invite,50.0
53587,Bottoms Up Ball Invitation,76.16
53588,Bottoms Up Ball Invitation,805.53
53589,Bottoms Up Ball Invitation,6107.09
53590,Bottoms Up Ball Invitation,26578.82
53592,Bottoms Up Ball Invitation,309.27
53593,Bottoms Up Ball Invitation,20432.06
53594,Bottoms Up Ball Invitation,623.48
53595,2021 Diaper Drive Golf Outing invite,26.06
53597,Bottoms Up Ball Invitation,7172.95
53598,Bottoms Up Ball Invitation,748.59
53603,2021 Diaper Drive Golf Outing invite,103.3
53632,2021 Diaper Drive Golf Outing invite,12.0
53634,2021 Diaper Drive Golf Outing invite,41.5
53646,2021 Diaper Drive Golf Outing invite,100.0
53689,2021 Diaper Drive Golf Outing invite,50.0
53690,Bottoms Up Ball Invitation,50.0
53701,2021 Diaper Drive Golf Outing invite,100.0
53703,Bottoms Up Ball Invitation,7062.89
53704,Bottoms Up Ball Invitation,14926.05
53705,Bottoms Up Ball Invitation,9631.23
53707,2021 Diaper Drive Golf Outing invite,150.0
53708,Bottoms Up Ball Invitation,0.0
53711,Bottoms Up Ball Invitation,29080.44
53713,Bottoms Up Ball Invitation,6386.73
53714,Bottoms Up Ball Invitation,4217.63
53715,Bottoms Up Ball Invitation,1431.56
53716,Bottoms Up Ball Invitation,9430.56
53717,Bottoms Up Ball Invitation,4926.73
53718,Bottoms Up Ball Invitation,5647.86
53719,Bottoms Up Ball Invitation,11174.2
53722,Bottoms Up Ball Invitation,75.0
53725,2021 Diaper Drive Golf Outing invite,300.0
53726,Bottoms Up Ball Invitation,1218.1
53727,2021 Diaper Drive Golf Outing invite,25.0
53728,Bottoms Up Ball Invitation,231.69
53736,Bottoms Up Ball Invitation,50.0
53744,2021 Diaper Drive Golf Outing invite,26.06
53775,2021 Diaper Drive Golf Outing invite,51.8
53794,2021 Diaper Drive Golf Outing invite,3500.0
53803,2021 Diaper Drive Golf Outing invite,26.16
53804,Bottoms Up Ball Invitation,64.47
53805,2021 Diaper Drive Golf Outing invite,73.03
53806,2021 Diaper Drive Golf Outing invite,103.3
53809,2021 Diaper Drive Golf Outing invite,26.13
53811,2021 Diaper Drive Golf Outing invite,102.86
53813,2021 Diaper Drive Golf Outing invite,26.06
53816,Bottoms Up Ball Invitation,75.0
53818,Bottoms Up Ball Invitation,383.3
53820,Bottoms Up Ball Invitation,207.43
53827,Bottoms Up Ball Invitation,50.0
53901,Bottoms Up Ball Invitation,499.44
53911,Bottoms Up Ball Invitation,276.06
53913,Bottoms Up Ball Invitation,688.23
53916,Bottoms Up Ball Invitation,155.95
53920,Bottoms Up Ball Invitation,51.13
53923,Bottoms Up Ball Invitation,26.08
53925,Bottoms Up Ball Invitation,1387.8
53930,2021 Diaper Drive Golf Outing invite,72.71
53932,Bottoms Up Ball Invitation,164.94
53940,2021 Diaper Drive Golf Outing invite,12.67
53941,2021 Diaper Drive Golf Outing invite,408.39
53948,2021 Diaper Drive Golf Outing invite,151.8
53949,2021 Diaper Drive Golf Outing invite,128.6
53950,2021 Diaper Drive Golf Outing invite,51.8
53952,2021 Diaper Drive Golf Outing invite,103.92
53954,2021 Diaper Drive Golf Outing invite,141.02
53955,Bottoms Up Ball Invitation,1256.73
53956,Bottoms Up Ball Invitation,258.79
53959,2021 Diaper Drive Golf Outing invite,2152.58
53960,Bottoms Up Ball Invitation,186.64
53963,Bottoms Up Ball Invitation,258.71
53964,Bottoms Up Ball Invitation,129.36
53965,Bottoms Up Ball Invitation,398.15
53968,2021 Diaper Drive Golf Outing invite,12.67
53998,2021 Diaper Drive Golf Outing invite,25.0
54115,2021 Diaper Drive Golf Outing invite,50.0
54313,2021 Diaper Drive Golf Outing invite,129.54
54501,2021 Diaper Drive Golf Outing invite,208.2
54548,2021 Diaper Drive Golf Outing invite,26.13
54590,Bottoms Up Ball Invitation,25.0
54618,2021 Diaper Drive Golf Outing invite,103.6
54634,Bottoms Up Ball Invitation,361.39
54637,2021 Diaper Drive Golf Outing invite,26.06
54646,2021 Diaper Drive Golf Outing invite,21.0
54664,2021 Diaper Drive Golf Outing invite,25.0
54703,Bottoms Up Ball Invitation,51.96
54705,Bottoms Up Ball Invitation,77.86
54801,Bottoms Up Ball Invitation,25.0
54937,2021 Diaper Drive Golf Outing invite,12.67
54942,Bottoms Up Ball Invitation,550.0
54943,2021 Diaper Drive Golf Outing invite,26.06
54956,2021 Diaper Drive Golf Outing invite,12.0
54982,2021 Diaper Drive Golf Outing invite,26.06
55076,2021 Diaper Drive Golf Outing invite,103.3
55104,2021 Diaper Drive Golf Outing invite,26.06
55112,Bottoms Up Ball Invitation,103.6
55304,2021 Diaper Drive Golf Outing invite,51.8
55369,2021 Diaper Drive Golf Outing invite,52.34
55407,2021 Diaper Drive Golf Outing invite,100.0
55423,2021 Diaper Drive Golf Outing invite,103.6
60093,2021 Diaper Drive Golf Outing invite,26.06
60148,2021 Diaper Drive Golf Outing invite,26.06
60480,Bottoms Up Ball Invitation,51.8
60516,Bottoms Up Ball Invitation,100.0
60586,2021 Diaper Drive Golf Outing invite,12.67
60646,2021 Diaper Drive Golf Outing invite,25.0
60660,2021 Diaper Drive Golf Outing invite,103.3
61021,2021 Diaper Drive Golf Outing invite,25.0
61089,2021 Diaper Drive Golf Outing invite,51.8
63303,2021 Diaper Drive Golf Outing invite,270.45
63537,2021 Diaper Drive Golf Outing invite,103.6
63705,Bottoms Up Ball Invitation,103.3
63726,Bottoms Up Ball Invitation,51.8
70124,Bottoms Up Ball Invitation,26.06
77406,2021 Diaper Drive Golf Outing invite,50.0
77407,2021 Diaper Drive Golf Outing invite,10312.49
78758,Bottoms Up Ball Invitation,20.91
80221,Bottoms Up Ball Invitation,51.8
81004,2021 Diaper Drive Golf Outing invite,26.06
81631,Bottoms Up Ball Invitation,103.3
85048,2021 Diaper Drive Golf Outing invite,26.06
85338,2021 Diaper Drive Golf Outing invite,25.0
85629,2021 Diaper Drive Golf Outing invite,208.43
91942,2021 Diaper Drive Golf Outing invite,26.06
92118,2021 Diaper Drive Golf Outing invite,50.0
94941,Bottoms Up Ball Invitation,25.0
95116,Bottoms Up Ball Invitation,100.0
98112,2021 Diaper Drive Golf Outing invite,100.0
